x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
INT_LEVEL,INT_COST_ITEM_TYPE_1,INT_COST_ITEM_COUNT_1,INT_COST_ITEM_TYPE_2,INT_COST_ITEM_COUNT_2,INT_COST_ITEM_TYPE_3,INT_COST_ITEM_COUNT_3,INT_COST_ITEM_TYPE_4,INT_COST_ITEM_COUNT_4,INT_COST_ITEM_TYPE_5,INT_COST_ITEM_COUNT_5,INT_TIME,INT_REQUIRE_BUILDING_1,INT_REQUIRE_LEVEL_1,INT_POWER,INT_PRODUCTION_TYPE,INT_PRODUCTION_COUNT,INT_CAPACITY,INT_INCREASE_GOLD,INT_REWARD_TYPE_1,INT_REWARD_COUNT_1
1.0,STEEL,35.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,5.0,TOWNHALL,15.0,1.0,AMMO,5.0,50.0,1.0,EXP,1.0
2.0,STEEL,60.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,15.0,TOWNHALL,15.0,2.0,AMMO,10.0,100.0,2.0,EXP,2.0
3.0,STEEL,110.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,30.0,TOWNHALL,15.0,4.0,AMMO,15.0,150.0,3.0,EXP,4.0
4.0,STEEL,175.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,130.0,TOWNHALL,15.0,7.0,AMMO,20.0,200.0,4.0,EXP,7.0
5.0,STEEL,275.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,255.0,TOWNHALL,15.0,11.0,AMMO,26.0,260.0,5.0,EXP,12.0
6.0,STEEL,1050.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,510.0,TOWNHALL,15.0,26.0,AMMO,32.0,320.0,6.0,EXP,28.0
7.0,STEEL,3750.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,1025.0,TOWNHALL,15.0,47.0,AMMO,38.0,380.0,7.0,EXP,51.0
8.0,STEEL,9500.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,2050.0,TOWNHALL,15.0,79.0,AMMO,45.0,450.0,8.0,EXP,86.0
9.0,STEEL,24000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,4095.0,TOWNHALL,15.0,118.0,AMMO,52.0,520.0,9.0,EXP,129.0
10.0,STEEL,39000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,6145.0,TOWNHALL,15.0,157.0,AMMO,59.0,590.0,10.0,EXP,172.0
11.0,STEEL,53000.0,OIL,0.0,RUBBER,0.0,NULL,0.0,NULL,0.0,7680.0,TOWNHALL,15.0,202.0,AMMO,66.0,660.0,11.0,EXP,222.0
12.0,STEEL,95000.0,OIL,0.0,RUBBER,0.0,NULL,0.0,NULL,0.0,10240.0,TOWNHALL,15.0,257.0,AMMO,73.0,730.0,12.0,EXP,282.0
13.0,STEEL,140000.0,OIL,0.0,RUBBER,0.0,NULL,0.0,NULL,0.0,14080.0,TOWNHALL,15.0,318.0,AMMO,81.0,810.0,13.0,EXP,349.0
14.0,STEEL,169000.0,OIL,0.0,RUBBER,0.0,NULL,0.0,NULL,0.0,16640.0,TOWNHALL,15.0,398.0,AMMO,89.0,890.0,14.0,EXP,437.0
15.0,STEEL,195000.0,OIL,0.0,RUBBER,0.0,NULL,0.0,NULL,0.0,19200.0,TOWNHALL,15.0,488.0,AMMO,97.0,970.0,15.0,EXP,536.0
16.0,STEEL,239000.0,OIL,0.0,RUBBER,0.0,AMMO,0.0,NULL,0.0,22400.0,TOWNHALL,16.0,596.0,AMMO,106.0,1060.0,16.0,EXP,655.0
17.0,STEEL,321000.0,OIL,0.0,RUBBER,0.0,AMMO,0.0,NULL,0.0,26880.0,TOWNHALL,17.0,738.0,AMMO,115.0,1150.0,17.0,EXP,811.0
18.0,STEEL,453000.0,OIL,0.0,RUBBER,0.0,AMMO,0.0,NULL,0.0,35200.0,TOWNHALL,18.0,905.0,AMMO,124.0,1240.0,18.0,EXP,995.0
19.0,STEEL,555000.0,OIL,0.0,RUBBER,0.0,AMMO,0.0,NULL,0.0,43520.0,TOWNHALL,19.0,1110.0,AMMO,133.0,1330.0,19.0,EXP,1221.0
20.0,STEEL,680000.0,OIL,0.0,RUBBER,0.0,AMMO,0.0,NULL,0.0,51840.0,TOWNHALL,20.0,1360.0,AMMO,142.0,1420.0,20.0,EXP,1496.0
21.0,STEEL,1.104e6,OIL,0.0,RUBBER,0.0,AMMO,0.0,NULL,0.0,61440.0,TOWNHALL,21.0,1673.0,AMMO,152.0,1520.0,21.0,EXP,1840.0
22.0,STEEL,1.533e6,OIL,0.0,RUBBER,0.0,AMMO,0.0,NULL,0.0,71040.0,TOWNHALL,22.0,2028.0,AMMO,162.0,1620.0,22.0,EXP,2230.0
23.0,STEEL,2.04e6,OIL,0.0,RUBBER,0.0,AMMO,0.0,NULL,0.0,80640.0,TOWNHALL,23.0,2406.0,AMMO,172.0,1720.0,23.0,EXP,2646.0
24.0,STEEL,2.61e6,OIL,0.0,RUBBER,0.0,AMMO,0.0,NULL,0.0,89600.0,TOWNHALL,24.0,2843.0,AMMO,183.0,1830.0,24.0,EXP,3127.0
25.0,STEEL,3.54e6,OIL,0.0,RUBBER,0.0,AMMO,0.0,NULL,0.0,102400.0,TOWNHALL,25.0,3340.0,AMMO,194.0,1940.0,25.0,EXP,3674.0
26.0,STEEL,4.62e6,OIL,0.0,RUBBER,0.0,AMMO,0.0,NULL,0.0,115200.0,TOWNHALL,26.0,3889.0,AMMO,205.0,2050.0,26.0,EXP,4277.0
27.0,STEEL,6.18e6,OIL,0.0,RUBBER,0.0,AMMO,0.0,NULL,0.0,134400.0,TOWNHALL,27.0,4518.0,AMMO,216.0,2160.0,27.0,EXP,4969.0
28.0,STEEL,8.671e6,OIL,0.0,RUBBER,0.0,AMMO,0.0,NULL,0.0,166400.0,TOWNHALL,28.0,5379.0,AMMO,227.0,2270.0,28.0,EXP,5916.0
29.0,STEEL,1.211e7,OIL,0.0,RUBBER,0.0,AMMO,0.0,NULL,0.0,204800.0,TOWNHALL,29.0,6360.0,AMMO,239.0,2390.0,29.0,EXP,6996.0
30.0,STEEL,1.6815e7,OIL,0.0,RUBBER,0.0,AMMO,0.0,NULL,0.0,256000.0,TOWNHALL,30.0,7473.0,AMMO,251.0,2510.0,30.0,EXP,8220.0
