x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
INT_LEVEL,INT_COST_ITEM_TYPE_1,INT_COST_ITEM_COUNT_1,INT_COST_ITEM_TYPE_2,INT_COST_ITEM_COUNT_2,INT_COST_ITEM_TYPE_3,INT_COST_ITEM_COUNT_3,INT_COST_ITEM_TYPE_4,INT_COST_ITEM_COUNT_4,INT_COST_ITEM_TYPE_5,INT_COST_ITEM_COUNT_5,INT_TIME,INT_REQUIRE_BUILDING_1,INT_REQUIRE_LEVEL_1,INT_POWER,INT_UNIT_ATK,INT_REWARD_TYPE_1,INT_REWARD_COUNT_1
1.0,STEEL,70.0,OIL,0.0,NULL,0.0,NULL,0.0,CANNON,9.0,5.0,TOWNHALL,9.0,3.0,150.0,EXP,3.0
2.0,STEEL,120.0,OIL,0.0,NULL,0.0,NULL,0.0,CANNON,12.0,10.0,TOWNHALL,9.0,5.0,250.0,EXP,5.0
3.0,STEEL,220.0,OIL,0.0,NULL,0.0,NULL,0.0,CANNON,22.0,20.0,TOWNHALL,9.0,9.0,450.0,EXP,9.0
4.0,STEEL,350.0,OIL,0.0,NULL,0.0,NULL,0.0,CANNON,36.0,80.0,TOWNHALL,9.0,14.0,700.0,EXP,15.0
5.0,STEEL,550.0,OIL,0.0,NULL,0.0,NULL,0.0,CANNON,52.0,160.0,TOWNHALL,9.0,22.0,1100.0,EXP,24.0
6.0,STEEL,2100.0,OIL,0.0,NULL,0.0,NULL,0.0,CANNON,72.0,320.0,TOWNHALL,9.0,53.0,2650.0,EXP,58.0
7.0,STEEL,7500.0,OIL,0.0,NULL,0.0,NULL,0.0,CANNON,94.0,640.0,TOWNHALL,9.0,94.0,4700.0,EXP,103.0
8.0,STEEL,19000.0,OIL,0.0,NULL,0.0,NULL,0.0,CANNON,120.0,1280.0,TOWNHALL,9.0,158.0,7900.0,EXP,173.0
9.0,STEEL,47000.0,OIL,0.0,NULL,0.0,NULL,0.0,CANNON,148.0,2560.0,TOWNHALL,9.0,235.0,11750.0,EXP,258.0
10.0,STEEL,78000.0,OIL,0.0,NULL,0.0,NULL,0.0,CANNON,180.0,3840.0,TOWNHALL,10.0,315.0,15750.0,EXP,346.0
11.0,STEEL,66000.0,OIL,0.0,RUBBER,6562.0,NULL,0.0,CANNON,214.0,4800.0,TOWNHALL,11.0,404.0,20200.0,EXP,444.0
12.0,STEEL,119000.0,OIL,0.0,RUBBER,12000.0,NULL,0.0,CANNON,252.0,6400.0,TOWNHALL,12.0,514.0,25700.0,EXP,565.0
13.0,STEEL,175000.0,OIL,0.0,RUBBER,18000.0,NULL,0.0,CANNON,292.0,8800.0,TOWNHALL,13.0,636.0,31800.0,EXP,699.0
14.0,STEEL,211000.0,OIL,0.0,RUBBER,21000.0,NULL,0.0,CANNON,336.0,10400.0,TOWNHALL,14.0,795.0,39750.0,EXP,874.0
15.0,STEEL,244000.0,OIL,0.0,RUBBER,24000.0,NULL,0.0,CANNON,382.0,12000.0,TOWNHALL,15.0,975.0,48750.0,EXP,1072.0
