x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
INT_LEVEL,INT_COST_ITEM_TYPE_1,INT_COST_ITEM_COUNT_1,INT_COST_ITEM_TYPE_2,INT_COST_ITEM_COUNT_2,INT_COST_ITEM_TYPE_3,INT_COST_ITEM_COUNT_3,INT_COST_ITEM_TYPE_4,INT_COST_ITEM_COUNT_4,INT_COST_ITEM_TYPE_5,INT_COST_ITEM_COUNT_5,INT_TIME,INT_REQUIRE_BUILDING_1,INT_REQUIRE_LEVEL_1,INT_POWER,INT_RESEARCH_SPEED_UP,INT_REWARD_TYPE_1,INT_REWARD_COUNT_1
1.0,STEEL,420.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,25.0,TOWNHALL,5.0,17.0,100.0,EXP,18.0
2.0,STEEL,720.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,50.0,TOWNHALL,5.0,29.0,200.0,EXP,31.0
3.0,STEEL,1320.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,120.0,TOWNHALL,5.0,53.0,300.0,EXP,58.0
4.0,STEEL,2100.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,480.0,TOWNHALL,5.0,84.0,400.0,EXP,92.0
5.0,STEEL,3300.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,960.0,TOWNHALL,5.0,132.0,500.0,EXP,145.0
6.0,STEEL,13000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,1920.0,TOWNHALL,6.0,315.0,600.0,EXP,346.0
7.0,STEEL,45000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,3840.0,TOWNHALL,7.0,563.0,700.0,EXP,619.0
8.0,STEEL,114000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,7680.0,TOWNHALL,8.0,950.0,800.0,EXP,1045.0
9.0,STEEL,282000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,15360.0,TOWNHALL,9.0,1410.0,900.0,EXP,1551.0
10.0,STEEL,468000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,23040.0,TOWNHALL,10.0,1887.0,1000.0,EXP,2075.0
11.0,STEEL,445000.0,OIL,0.0,RUBBER,31000.0,NULL,0.0,NULL,0.0,28800.0,TOWNHALL,11.0,2423.0,1100.0,EXP,2665.0
12.0,STEEL,805000.0,OIL,0.0,RUBBER,56000.0,NULL,0.0,NULL,0.0,38400.0,TOWNHALL,12.0,3081.0,1200.0,EXP,3389.0
13.0,STEEL,1.186e6,OIL,0.0,RUBBER,82000.0,NULL,0.0,NULL,0.0,52800.0,TOWNHALL,13.0,3818.0,1300.0,EXP,4199.0
14.0,STEEL,1.432e6,OIL,0.0,RUBBER,99000.0,NULL,0.0,NULL,0.0,62400.0,TOWNHALL,14.0,4772.0,1400.0,EXP,5249.0
15.0,STEEL,1.652e6,OIL,0.0,RUBBER,115000.0,NULL,0.0,NULL,0.0,72000.0,TOWNHALL,15.0,5850.0,1500.0,EXP,6435.0
16.0,STEEL,1.717e6,OIL,0.0,RUBBER,119000.0,AMMO,36000.0,NULL,0.0,84000.0,TOWNHALL,16.0,7155.0,1600.0,EXP,7870.0
17.0,STEEL,2.311e6,OIL,0.0,RUBBER,161000.0,AMMO,48000.0,NULL,0.0,100800.0,TOWNHALL,17.0,8855.0,1700.0,EXP,9740.0
18.0,STEEL,3.258e6,OIL,0.0,RUBBER,226000.0,AMMO,68000.0,NULL,0.0,132000.0,TOWNHALL,18.0,10860.0,1800.0,EXP,11946.0
19.0,STEEL,3.996e6,OIL,0.0,RUBBER,278000.0,AMMO,83000.0,NULL,0.0,163200.0,TOWNHALL,19.0,13320.0,1900.0,EXP,14652.0
20.0,STEEL,4.896e6,OIL,0.0,RUBBER,340000.0,AMMO,102000.0,NULL,0.0,194400.0,TOWNHALL,20.0,16320.0,2000.0,EXP,17952.0
21.0,STEEL,7.9488e6,OIL,0.0,RUBBER,552000.0,AMMO,165600.0,NULL,0.0,230400.0,TOWNHALL,21.0,20073.0,2100.0,EXP,22080.0
22.0,STEEL,1.10376e7,OIL,0.0,RUBBER,767200.0,AMMO,229600.0,NULL,0.0,266400.0,TOWNHALL,22.0,24333.0,2200.0,EXP,26766.0
23.0,STEEL,1.4688e7,OIL,0.0,RUBBER,1.0208e6,AMMO,305600.0,NULL,0.0,302400.0,TOWNHALL,23.0,28868.0,2300.0,EXP,31754.0
24.0,STEEL,1.8792e7,OIL,0.0,RUBBER,1.305e6,AMMO,392400.0,NULL,0.0,336000.0,TOWNHALL,24.0,34118.0,2400.0,EXP,37529.0
25.0,STEEL,2.5488e7,OIL,0.0,RUBBER,1.77e6,AMMO,532000.0,NULL,0.0,384000.0,TOWNHALL,25.0,40075.0,2500.0,EXP,44082.0
26.0,STEEL,3.3264e7,OIL,0.0,RUBBER,2.31e6,AMMO,693000.0,NULL,0.0,432000.0,TOWNHALL,26.0,46667.0,2600.0,EXP,51333.0
27.0,STEEL,4.4496e7,OIL,0.0,RUBBER,3.0912e6,AMMO,926400.0,NULL,0.0,504000.0,TOWNHALL,27.0,54211.0,2700.0,EXP,59632.0
28.0,STEEL,6.24312e7,OIL,0.0,RUBBER,4.3368e6,AMMO,1.3e6,NULL,0.0,624000.0,TOWNHALL,28.0,64548.0,2800.0,EXP,71002.0
29.0,STEEL,8.7192e7,OIL,0.0,RUBBER,6.0564e6,AMMO,1.8172e6,NULL,0.0,768000.0,TOWNHALL,29.0,76324.0,2900.0,EXP,83956.0
30.0,STEEL,1.21068e8,OIL,0.0,RUBBER,8.409e6,AMMO,2.523e6,NULL,0.0,960000.0,TOWNHALL,30.0,89680.0,3000.0,EXP,98648.0
