x1,x2,x3,x4,x5,x6,x7,x8
INT_TOWNHALL_LEVEL,INT_SMELTER_COUNT,INT_OIL_FIELD_COUNT,INT_REPAIR_SHOP_COUNT,INT_POWER_PLANT_COUNT,INT_RUBBER_PLANT_COUNT,INT_AMMO_PLANT_COUNT,INT_BUNKER_COUNT
1.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0
2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0
3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0
4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0
5.0,8.0,8.0,6.0,6.0,6.0,6.0,2.0
6.0,8.0,8.0,6.0,6.0,6.0,6.0,2.0
7.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
8.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
9.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
10.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
11.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
12.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
13.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
14.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
15.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
16.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
17.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
18.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
19.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
20.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
21.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
22.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
23.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
24.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
25.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
26.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
27.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
28.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
29.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
30.0,10.0,10.0,8.0,8.0,8.0,8.0,2.0
