x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
INT_LEVEL,INT_COST_ITEM_TYPE_1,INT_COST_ITEM_COUNT_1,INT_COST_ITEM_TYPE_2,INT_COST_ITEM_COUNT_2,INT_COST_ITEM_TYPE_3,INT_COST_ITEM_COUNT_3,INT_COST_ITEM_TYPE_4,INT_COST_ITEM_COUNT_4,INT_COST_ITEM_TYPE_5,INT_COST_ITEM_COUNT_5,INT_TIME,INT_REQUIRE_BUILDING_1,INT_REQUIRE_LEVEL_1,INT_POWER,INT_HELP_COUNT,INT_REDUCE_TIME,INT_REINFORCE_TROOPS,INT_REWARD_TYPE_1,INT_REWARD_COUNT_1
1.0,STEEL,245.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,15.0,TOWNHALL,6.0,10.0,3.0,30.0,4000.0,EXP,11.0
2.0,STEEL,420.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,25.0,TOWNHALL,6.0,17.0,4.0,33.0,7000.0,EXP,18.0
3.0,STEEL,770.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,70.0,TOWNHALL,6.0,31.0,5.0,36.0,10000.0,EXP,34.0
4.0,STEEL,1225.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,270.0,TOWNHALL,6.0,49.0,6.0,39.0,13000.0,EXP,53.0
5.0,STEEL,1925.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,545.0,TOWNHALL,6.0,77.0,7.0,42.0,16000.0,EXP,84.0
6.0,STEEL,7350.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,1090.0,TOWNHALL,6.0,184.0,8.0,45.0,20000.0,EXP,202.0
7.0,STEEL,26000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,2175.0,TOWNHALL,7.0,328.0,9.0,48.0,26000.0,EXP,360.0
8.0,STEEL,67000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,4350.0,TOWNHALL,8.0,554.0,10.0,51.0,32000.0,EXP,609.0
9.0,STEEL,165000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,8705.0,TOWNHALL,9.0,823.0,11.0,54.0,38000.0,EXP,905.0
10.0,STEEL,273000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,13055.0,TOWNHALL,10.0,1101.0,12.0,57.0,45000.0,EXP,1211.0
11.0,STEEL,191000.0,OIL,0.0,RUBBER,29000.0,NULL,0.0,NULL,0.0,16320.0,TOWNHALL,11.0,1413.0,13.0,60.0,52000.0,EXP,1554.0
12.0,STEEL,345000.0,OIL,0.0,RUBBER,53000.0,NULL,0.0,NULL,0.0,21760.0,TOWNHALL,12.0,1797.0,14.0,63.0,66000.0,EXP,1976.0
13.0,STEEL,508000.0,OIL,0.0,RUBBER,79000.0,NULL,0.0,NULL,0.0,29920.0,TOWNHALL,13.0,2227.0,15.0,66.0,80000.0,EXP,2449.0
14.0,STEEL,613000.0,OIL,0.0,RUBBER,95000.0,NULL,0.0,NULL,0.0,35360.0,TOWNHALL,14.0,2784.0,16.0,69.0,94000.0,EXP,3062.0
15.0,STEEL,708000.0,OIL,0.0,RUBBER,110000.0,NULL,0.0,NULL,0.0,40800.0,TOWNHALL,15.0,3413.0,17.0,72.0,108000.0,EXP,3754.0
16.0,STEEL,584000.0,OIL,0.0,RUBBER,90000.0,AMMO,45000.0,NULL,0.0,47600.0,TOWNHALL,16.0,4174.0,18.0,75.0,122000.0,EXP,4591.0
17.0,STEEL,786000.0,OIL,0.0,RUBBER,122000.0,AMMO,61000.0,NULL,0.0,57120.0,TOWNHALL,17.0,5166.0,19.0,78.0,145000.0,EXP,5682.0
18.0,STEEL,1.109e6,OIL,0.0,RUBBER,172000.0,AMMO,86000.0,NULL,0.0,74800.0,TOWNHALL,18.0,6335.0,20.0,81.0,168000.0,EXP,6968.0
19.0,STEEL,1.36e6,OIL,0.0,RUBBER,210000.0,AMMO,105000.0,NULL,0.0,92480.0,TOWNHALL,19.0,7770.0,21.0,84.0,191000.0,EXP,8547.0
20.0,STEEL,1.666e6,OIL,0.0,RUBBER,258000.0,AMMO,129000.0,NULL,0.0,110160.0,TOWNHALL,20.0,9520.0,22.0,87.0,224000.0,EXP,10472.0
21.0,STEEL,2.7048e6,OIL,0.0,RUBBER,418800.0,AMMO,208800.0,NULL,0.0,130560.0,TOWNHALL,21.0,11709.0,23.0,90.0,250000.0,EXP,12879.0
22.0,STEEL,3.7562e6,OIL,0.0,RUBBER,581000.0,AMMO,291200.0,NULL,0.0,150960.0,TOWNHALL,22.0,14194.0,24.0,93.0,277000.0,EXP,15613.0
23.0,STEEL,4.9984e6,OIL,0.0,RUBBER,772800.0,AMMO,387200.0,NULL,0.0,171360.0,TOWNHALL,23.0,16840.0,25.0,96.0,308000.0,EXP,18524.0
24.0,STEEL,6.3954e6,OIL,0.0,RUBBER,990000.0,AMMO,495000.0,NULL,0.0,190400.0,TOWNHALL,24.0,19902.0,26.0,99.0,340000.0,EXP,21892.0
25.0,STEEL,8.674e6,OIL,0.0,RUBBER,1.342e6,AMMO,672000.0,NULL,0.0,217600.0,TOWNHALL,25.0,23377.0,27.0,102.0,380000.0,EXP,25714.0
26.0,STEEL,1.1319e7,OIL,0.0,RUBBER,1.7512e6,AMMO,875600.0,NULL,0.0,244800.0,TOWNHALL,26.0,27222.0,28.0,105.0,420000.0,EXP,29944.0
27.0,STEEL,1.51416e7,OIL,0.0,RUBBER,2.3424e6,AMMO,1.1712e6,NULL,0.0,285600.0,TOWNHALL,27.0,31623.0,29.0,108.0,460000.0,EXP,34785.0
28.0,STEEL,2.12446e7,OIL,0.0,RUBBER,3.289e6,AMMO,1.6432e6,NULL,0.0,353600.0,TOWNHALL,28.0,37653.0,30.0,111.0,520000.0,EXP,41418.0
29.0,STEEL,2.96688e7,OIL,0.0,RUBBER,4.592e6,AMMO,2.296e6,NULL,0.0,435200.0,TOWNHALL,29.0,44522.0,31.0,114.0,600000.0,EXP,48974.0
30.0,STEEL,4.1196e7,OIL,0.0,RUBBER,6.375e6,AMMO,3.189e6,NULL,0.0,544000.0,TOWNHALL,30.0,52313.0,32.0,117.0,700000.0,EXP,57544.0
