x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
INT_LEVEL,INT_COST_ITEM_TYPE_1,INT_COST_ITEM_COUNT_1,INT_COST_ITEM_TYPE_2,INT_COST_ITEM_COUNT_2,INT_COST_ITEM_TYPE_3,INT_COST_ITEM_COUNT_3,INT_COST_ITEM_TYPE_4,INT_COST_ITEM_COUNT_4,INT_COST_ITEM_TYPE_5,INT_COST_ITEM_COUNT_5,INT_TIME,INT_REQUIRE_BUILDING_1,INT_REQUIRE_LEVEL_1,INT_POWER,INT_DEFENCE_COUNT,INT_DURABILITY,INT_REWARD_TYPE_1,INT_REWARD_COUNT_1
1.0,STEEL,0.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,0.0,NULL,0.0,20.0,1400.0,9000.0,NULL,0.0
2.0,STEEL,840.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,80.0,TOWNHALL,2.0,34.0,2400.0,15000.0,EXP,37.0
3.0,STEEL,1540.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,200.0,TOWNHALL,3.0,62.0,3400.0,18300.0,EXP,68.0
4.0,STEEL,2450.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,800.0,TOWNHALL,4.0,98.0,4500.0,36100.0,EXP,107.0
5.0,STEEL,3850.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,1600.0,TOWNHALL,5.0,154.0,5600.0,45700.0,EXP,169.0
6.0,STEEL,15000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,3200.0,TOWNHALL,6.0,368.0,6500.0,55800.0,EXP,404.0
7.0,STEEL,53000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,6400.0,TOWNHALL,7.0,656.0,7500.0,91100.0,EXP,721.0
8.0,STEEL,133000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,12800.0,TOWNHALL,8.0,1108.0,8500.0,105900.0,EXP,1218.0
9.0,STEEL,329000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,25600.0,TOWNHALL,9.0,1645.0,10400.0,130800.0,EXP,1809.0
