x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
INT_LEVEL,INT_COST_ITEM_TYPE_1,INT_COST_ITEM_COUNT_1,INT_COST_ITEM_TYPE_2,INT_COST_ITEM_COUNT_2,INT_COST_ITEM_TYPE_3,INT_COST_ITEM_COUNT_3,INT_COST_ITEM_TYPE_4,INT_COST_ITEM_COUNT_4,INT_COST_ITEM_TYPE_5,INT_COST_ITEM_COUNT_5,INT_TIME,INT_REQUIRE_BUILDING_1,INT_REQUIRE_LEVEL_1,INT_POWER,INT_TEAM_MARCH_COUNT,INT_REWARD_TYPE_1,INT_REWARD_COUNT_1
1.0,STEEL,315.0,OIL,0.0,NULL,0.0,NULL,0.0,SPY_REPORT,3.0,20.0,TOWNHALL,7.0,13.0,10000.0,EXP,14.0
2.0,STEEL,540.0,OIL,0.0,NULL,0.0,NULL,0.0,SPY_REPORT,4.0,35.0,TOWNHALL,7.0,22.0,20000.0,EXP,24.0
3.0,STEEL,990.0,OIL,0.0,NULL,0.0,NULL,0.0,SPY_REPORT,8.0,90.0,TOWNHALL,7.0,40.0,30000.0,EXP,44.0
4.0,STEEL,1575.0,OIL,0.0,NULL,0.0,NULL,0.0,SPY_REPORT,14.0,350.0,TOWNHALL,7.0,63.0,40000.0,EXP,69.0
5.0,STEEL,2475.0,OIL,0.0,NULL,0.0,NULL,0.0,SPY_REPORT,20.0,705.0,TOWNHALL,7.0,99.0,50000.0,EXP,108.0
6.0,STEEL,9450.0,OIL,0.0,NULL,0.0,NULL,0.0,SPY_REPORT,28.0,1410.0,TOWNHALL,7.0,236.0,60000.0,EXP,259.0
7.0,STEEL,34000.0,OIL,0.0,NULL,0.0,NULL,0.0,SPY_REPORT,37.0,2815.0,TOWNHALL,7.0,422.0,80000.0,EXP,464.0
8.0,STEEL,86000.0,OIL,0.0,NULL,0.0,NULL,0.0,SPY_REPORT,48.0,5630.0,EMBASSY,8.0,713.0,100000.0,EXP,784.0
9.0,STEEL,212000.0,OIL,0.0,NULL,0.0,NULL,0.0,SPY_REPORT,59.0,11265.0,EMBASSY,9.0,1058.0,120000.0,EXP,1163.0
