x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
INT_LEVEL,INT_COST_ITEM_TYPE_1,INT_COST_ITEM_COUNT_1,INT_COST_ITEM_TYPE_2,INT_COST_ITEM_COUNT_2,INT_COST_ITEM_TYPE_3,INT_COST_ITEM_COUNT_3,INT_COST_ITEM_TYPE_4,INT_COST_ITEM_COUNT_4,INT_COST_ITEM_TYPE_5,INT_COST_ITEM_COUNT_5,INT_TIME,INT_REQUIRE_BUILDING_1,INT_REQUIRE_LEVEL_1,INT_POWER,INT_RECRUIT_SPEEDUP,INT_REWARD_TYPE_1,INT_REWARD_COUNT_1
1.0,STEEL,373.0,OIL,186.0,NULL,0.0,NULL,0.0,NULL,0.0,30.0,OIL_FIELD,1.0,22.0,200.0,EXP,24.0
2.0,STEEL,640.0,OIL,320.0,NULL,0.0,NULL,0.0,NULL,0.0,55.0,OIL_FIELD,2.0,38.0,300.0,EXP,41.0
3.0,STEEL,1173.0,OIL,586.0,NULL,0.0,NULL,0.0,NULL,0.0,140.0,OIL_FIELD,3.0,70.0,400.0,EXP,77.0
4.0,STEEL,1866.0,OIL,933.0,NULL,0.0,NULL,0.0,NULL,0.0,560.0,OIL_FIELD,4.0,112.0,500.0,EXP,123.0
5.0,STEEL,2933.0,OIL,1466.0,NULL,0.0,NULL,0.0,NULL,0.0,1120.0,OIL_FIELD,5.0,176.0,600.0,EXP,193.0
6.0,STEEL,11000.0,OIL,5600.0,NULL,0.0,NULL,0.0,NULL,0.0,2240.0,OIL_FIELD,6.0,420.0,700.0,EXP,462.0
7.0,STEEL,40000.0,OIL,20000.0,NULL,0.0,NULL,0.0,NULL,0.0,4480.0,OIL_FIELD,7.0,750.0,800.0,EXP,825.0
8.0,STEEL,101000.0,OIL,51000.0,NULL,0.0,NULL,0.0,NULL,0.0,8960.0,OIL_FIELD,8.0,1267.0,900.0,EXP,1393.0
9.0,STEEL,251000.0,OIL,125000.0,NULL,0.0,NULL,0.0,NULL,0.0,17920.0,OIL_FIELD,9.0,1880.0,1000.0,EXP,2068.0
10.0,STEEL,416000.0,OIL,208000.0,NULL,0.0,NULL,0.0,NULL,0.0,26880.0,OIL_FIELD,10.0,2516.0,1100.0,EXP,2767.0
11.0,STEEL,420000.0,OIL,210000.0,RUBBER,35000.0,NULL,0.0,NULL,0.0,33600.0,OIL_FIELD,11.0,3231.0,1200.0,EXP,3554.0
12.0,STEEL,760000.0,OIL,380000.0,RUBBER,63000.0,NULL,0.0,NULL,0.0,44800.0,OIL_FIELD,12.0,4108.0,1300.0,EXP,4518.0
13.0,STEEL,1.12e6,OIL,560000.0,RUBBER,93000.0,NULL,0.0,NULL,0.0,61600.0,OIL_FIELD,13.0,5091.0,1400.0,EXP,5600.0
14.0,STEEL,1.352e6,OIL,676000.0,RUBBER,113000.0,NULL,0.0,NULL,0.0,72800.0,OIL_FIELD,14.0,6362.0,1500.0,EXP,6998.0
15.0,STEEL,1.56e6,OIL,780000.0,RUBBER,130000.0,NULL,0.0,NULL,0.0,84000.0,OIL_FIELD,15.0,7800.0,1600.0,EXP,8580.0
16.0,STEEL,1.526e6,OIL,763000.0,RUBBER,127000.0,AMMO,64000.0,NULL,0.0,98000.0,OIL_FIELD,16.0,9540.0,1700.0,EXP,10494.0
17.0,STEEL,2.054e6,OIL,1.027e6,RUBBER,171000.0,AMMO,86000.0,NULL,0.0,117600.0,OIL_FIELD,17.0,11807.0,1800.0,EXP,12987.0
18.0,STEEL,2.896e6,OIL,1.448e6,RUBBER,241000.0,AMMO,121000.0,NULL,0.0,154000.0,OIL_FIELD,18.0,14480.0,1900.0,EXP,15928.0
19.0,STEEL,3.552e6,OIL,1.776e6,RUBBER,296000.0,AMMO,148000.0,NULL,0.0,190400.0,OIL_FIELD,19.0,17760.0,2000.0,EXP,19536.0
20.0,STEEL,4.352e6,OIL,2.176e6,RUBBER,363000.0,AMMO,181000.0,NULL,0.0,226800.0,OIL_FIELD,20.0,21760.0,2100.0,EXP,23936.0
21.0,STEEL,7.0656e6,OIL,3.5328e6,RUBBER,589200.0,AMMO,294000.0,NULL,0.0,268800.0,OIL_FIELD,21.0,26764.0,2200.0,EXP,29440.0
22.0,STEEL,9.8112e6,OIL,4.9056e6,RUBBER,817600.0,AMMO,408800.0,NULL,0.0,310800.0,OIL_FIELD,22.0,32444.0,2300.0,EXP,35688.0
23.0,STEEL,1.3056e7,OIL,6.528e6,RUBBER,1.088e6,AMMO,544000.0,NULL,0.0,352800.0,OIL_FIELD,23.0,38491.0,2400.0,EXP,42340.0
24.0,STEEL,1.6704e7,OIL,8.352e6,RUBBER,1.3914e6,AMMO,696600.0,NULL,0.0,392000.0,OIL_FIELD,24.0,45490.0,2500.0,EXP,50039.0
25.0,STEEL,2.2656e7,OIL,1.1328e7,RUBBER,1.888e6,AMMO,944000.0,NULL,0.0,448000.0,OIL_FIELD,25.0,53434.0,2600.0,EXP,58777.0
26.0,STEEL,2.9568e7,OIL,1.4784e7,RUBBER,2.464e6,AMMO,1.232e6,NULL,0.0,504000.0,OIL_FIELD,26.0,62222.0,2700.0,EXP,68444.0
27.0,STEEL,3.9552e7,OIL,1.9776e7,RUBBER,3.2952e6,AMMO,1.6488e6,NULL,0.0,588000.0,OIL_FIELD,27.0,72281.0,2800.0,EXP,79509.0
28.0,STEEL,5.54944e7,OIL,2.77472e7,RUBBER,4.6254e6,AMMO,2.3114e6,NULL,0.0,728000.0,OIL_FIELD,28.0,86065.0,2900.0,EXP,94671.0
29.0,STEEL,7.7504e7,OIL,3.8752e7,RUBBER,6.4596e6,AMMO,3.2284e6,NULL,0.0,896000.0,OIL_FIELD,29.0,101765.0,3000.0,EXP,111941.0
30.0,STEEL,1.07616e8,OIL,5.3808e7,RUBBER,8.967e6,AMMO,4.485e6,NULL,0.0,1.12e6,OIL_FIELD,30.0,119573.0,3200.0,EXP,131530.0
