x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19
INT_LEVEL,INT_COST_ITEM_TYPE_1,INT_COST_ITEM_COUNT_1,INT_COST_ITEM_TYPE_2,INT_COST_ITEM_COUNT_2,INT_COST_ITEM_TYPE_3,INT_COST_ITEM_COUNT_3,INT_COST_ITEM_TYPE_4,INT_COST_ITEM_COUNT_4,INT_COST_ITEM_TYPE_5,INT_COST_ITEM_COUNT_5,INT_TIME,INT_REQUIRE_BUILDING_1,INT_REQUIRE_LEVEL_1,INT_POWER,INT_TRAIN_COUNT,INT_TRAIN_SPEEDUP,INT_REWARD_TYPE_1,INT_REWARD_COUNT_1
1.0,STEEL,105.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,5.0,TOWNHALL,1.0,4.0,10.0,100.0,EXP,4.0
2.0,STEEL,180.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,10.0,TOWNHALL,2.0,7.0,15.0,150.0,EXP,7.0
3.0,STEEL,330.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,30.0,TOWNHALL,3.0,13.0,20.0,200.0,EXP,14.0
4.0,STEEL,525.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,110.0,TOWNHALL,4.0,21.0,25.0,250.0,EXP,23.0
5.0,STEEL,825.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,225.0,TOWNHALL,5.0,33.0,30.0,300.0,EXP,36.0
6.0,STEEL,3150.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,450.0,TOWNHALL,6.0,79.0,35.0,350.0,EXP,86.0
7.0,STEEL,11000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,895.0,TOWNHALL,7.0,141.0,40.0,400.0,EXP,155.0
8.0,STEEL,29000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,1790.0,TOWNHALL,8.0,238.0,45.0,450.0,EXP,261.0
9.0,STEEL,71000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,3585.0,TOWNHALL,9.0,353.0,50.0,500.0,EXP,388.0
10.0,STEEL,117000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,5375.0,TOWNHALL,10.0,472.0,55.0,550.0,EXP,519.0
11.0,STEEL,98000.0,OIL,0.0,RUBBER,9843.0,NULL,0.0,NULL,0.0,6720.0,TOWNHALL,11.0,606.0,60.0,600.0,EXP,666.0
12.0,STEEL,178000.0,OIL,0.0,RUBBER,18000.0,NULL,0.0,NULL,0.0,8960.0,TOWNHALL,12.0,770.0,65.0,650.0,EXP,847.0
13.0,STEEL,263000.0,OIL,0.0,RUBBER,26000.0,NULL,0.0,NULL,0.0,12320.0,TOWNHALL,13.0,955.0,70.0,700.0,EXP,1050.0
14.0,STEEL,317000.0,OIL,0.0,RUBBER,32000.0,NULL,0.0,NULL,0.0,14560.0,TOWNHALL,14.0,1193.0,75.0,750.0,EXP,1312.0
15.0,STEEL,366000.0,OIL,0.0,RUBBER,37000.0,NULL,0.0,NULL,0.0,16800.0,TOWNHALL,15.0,1463.0,80.0,800.0,EXP,1609.0
16.0,STEEL,358000.0,OIL,0.0,RUBBER,36000.0,AMMO,12000.0,NULL,0.0,19600.0,TOWNHALL,16.0,1789.0,85.0,850.0,EXP,1967.0
17.0,STEEL,482000.0,OIL,0.0,RUBBER,48000.0,AMMO,16000.0,NULL,0.0,23520.0,TOWNHALL,17.0,2214.0,90.0,900.0,EXP,2435.0
18.0,STEEL,679000.0,OIL,0.0,RUBBER,68000.0,AMMO,23000.0,NULL,0.0,30800.0,TOWNHALL,18.0,2715.0,95.0,950.0,EXP,2986.0
19.0,STEEL,833000.0,OIL,0.0,RUBBER,83000.0,AMMO,28000.0,NULL,0.0,38080.0,TOWNHALL,19.0,3330.0,100.0,1000.0,EXP,3663.0
20.0,STEEL,1.02e6,OIL,0.0,RUBBER,102000.0,AMMO,34000.0,NULL,0.0,45360.0,TOWNHALL,20.0,4080.0,105.0,1050.0,EXP,4488.0
21.0,STEEL,1.656e6,OIL,0.0,RUBBER,165600.0,AMMO,55200.0,NULL,0.0,53760.0,TOWNHALL,21.0,5018.0,110.0,1100.0,EXP,5519.0
22.0,STEEL,2.3002e6,OIL,0.0,RUBBER,229600.0,AMMO,77000.0,NULL,0.0,62160.0,TOWNHALL,22.0,6083.0,115.0,1150.0,EXP,6691.0
23.0,STEEL,3.0608e6,OIL,0.0,RUBBER,305600.0,AMMO,102400.0,NULL,0.0,70560.0,TOWNHALL,23.0,7217.0,120.0,1200.0,EXP,7938.0
24.0,STEEL,3.915e6,OIL,0.0,RUBBER,392400.0,AMMO,131400.0,NULL,0.0,78400.0,TOWNHALL,24.0,8529.0,125.0,1250.0,EXP,9381.0
25.0,STEEL,5.31e6,OIL,0.0,RUBBER,532000.0,AMMO,178000.0,NULL,0.0,89600.0,TOWNHALL,25.0,10019.0,130.0,1300.0,EXP,11020.0
26.0,STEEL,6.93e6,OIL,0.0,RUBBER,693000.0,AMMO,231000.0,NULL,0.0,100800.0,TOWNHALL,26.0,11667.0,135.0,1350.0,EXP,12833.0
27.0,STEEL,9.2712e6,OIL,0.0,RUBBER,926400.0,AMMO,309600.0,NULL,0.0,117600.0,TOWNHALL,27.0,13553.0,140.0,1400.0,EXP,14908.0
28.0,STEEL,1.30078e7,OIL,0.0,RUBBER,1.3e6,AMMO,434200.0,NULL,0.0,145600.0,TOWNHALL,28.0,16137.0,145.0,1450.0,EXP,17750.0
29.0,STEEL,1.81664e7,OIL,0.0,RUBBER,1.8172e6,AMMO,604800.0,NULL,0.0,179200.0,TOWNHALL,29.0,19081.0,150.0,1500.0,EXP,20989.0
30.0,STEEL,2.5224e7,OIL,0.0,RUBBER,2.523e6,AMMO,840000.0,NULL,0.0,224000.0,TOWNHALL,30.0,22420.0,155.0,1600.0,EXP,24662.0
