x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
INT_LEVEL,INT_COST_ITEM_TYPE_1,INT_COST_ITEM_COUNT_1,INT_COST_ITEM_TYPE_2,INT_COST_ITEM_COUNT_2,INT_COST_ITEM_TYPE_3,INT_COST_ITEM_COUNT_3,INT_COST_ITEM_TYPE_4,INT_COST_ITEM_COUNT_4,INT_COST_ITEM_TYPE_5,INT_COST_ITEM_COUNT_5,INT_TIME,INT_REQUIRE_BUILDING_1,INT_REQUIRE_LEVEL_1,INT_POWER,INT_INJURED_CAPACITY,INT_REWARD_TYPE_1,INT_REWARD_COUNT_1
1.0,STEEL,70.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,5.0,TOWNHALL,1.0,3.0,500.0,EXP,3.0
2.0,STEEL,120.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,10.0,POWER_PLANT,2.0,5.0,1000.0,EXP,5.0
3.0,STEEL,220.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,25.0,POWER_PLANT,3.0,9.0,1500.0,EXP,9.0
4.0,STEEL,350.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,105.0,POWER_PLANT,4.0,14.0,2000.0,EXP,15.0
5.0,STEEL,550.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,210.0,POWER_PLANT,5.0,22.0,2500.0,EXP,24.0
6.0,STEEL,2100.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,415.0,POWER_PLANT,6.0,53.0,3000.0,EXP,58.0
7.0,STEEL,7500.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,830.0,POWER_PLANT,7.0,94.0,3500.0,EXP,103.0
8.0,STEEL,19000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,1665.0,POWER_PLANT,8.0,158.0,4000.0,EXP,173.0
9.0,STEEL,47000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,3330.0,POWER_PLANT,9.0,235.0,4500.0,EXP,258.0
10.0,STEEL,78000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,4990.0,POWER_PLANT,10.0,315.0,5000.0,EXP,346.0
11.0,STEEL,66000.0,OIL,0.0,RUBBER,6562.0,NULL,0.0,NULL,0.0,6240.0,POWER_PLANT,11.0,404.0,5500.0,EXP,444.0
12.0,STEEL,119000.0,OIL,0.0,RUBBER,12000.0,NULL,0.0,NULL,0.0,8320.0,POWER_PLANT,12.0,514.0,6000.0,EXP,565.0
13.0,STEEL,175000.0,OIL,0.0,RUBBER,18000.0,NULL,0.0,NULL,0.0,11440.0,POWER_PLANT,13.0,636.0,6500.0,EXP,699.0
14.0,STEEL,211000.0,OIL,0.0,RUBBER,21000.0,NULL,0.0,NULL,0.0,13520.0,POWER_PLANT,14.0,795.0,7000.0,EXP,874.0
15.0,STEEL,244000.0,OIL,0.0,RUBBER,24000.0,NULL,0.0,NULL,0.0,15600.0,POWER_PLANT,15.0,975.0,7500.0,EXP,1072.0
16.0,STEEL,239000.0,OIL,0.0,RUBBER,24000.0,AMMO,7950.0,NULL,0.0,18200.0,POWER_PLANT,16.0,1193.0,8000.0,EXP,1312.0
17.0,STEEL,321000.0,OIL,0.0,RUBBER,32000.0,AMMO,11000.0,NULL,0.0,21840.0,POWER_PLANT,17.0,1476.0,9000.0,EXP,1623.0
18.0,STEEL,453000.0,OIL,0.0,RUBBER,45000.0,AMMO,15000.0,NULL,0.0,28600.0,POWER_PLANT,18.0,1810.0,10000.0,EXP,1991.0
19.0,STEEL,555000.0,OIL,0.0,RUBBER,56000.0,AMMO,19000.0,NULL,0.0,35360.0,POWER_PLANT,19.0,2220.0,11500.0,EXP,2442.0
20.0,STEEL,680000.0,OIL,0.0,RUBBER,68000.0,AMMO,23000.0,NULL,0.0,42120.0,POWER_PLANT,20.0,2720.0,13000.0,EXP,2992.0
21.0,STEEL,1.104e6,OIL,0.0,RUBBER,110400.0,AMMO,37200.0,NULL,0.0,49920.0,POWER_PLANT,21.0,3345.0,14500.0,EXP,3679.0
22.0,STEEL,1.533e6,OIL,0.0,RUBBER,154000.0,AMMO,51800.0,NULL,0.0,57720.0,POWER_PLANT,22.0,4056.0,16000.0,EXP,4461.0
23.0,STEEL,2.04e6,OIL,0.0,RUBBER,204800.0,AMMO,68800.0,NULL,0.0,65520.0,POWER_PLANT,23.0,4811.0,17500.0,EXP,5292.0
24.0,STEEL,2.61e6,OIL,0.0,RUBBER,261000.0,AMMO,86400.0,NULL,0.0,72800.0,POWER_PLANT,24.0,5686.0,19000.0,EXP,6254.0
25.0,STEEL,3.54e6,OIL,0.0,RUBBER,354000.0,AMMO,118000.0,NULL,0.0,83200.0,POWER_PLANT,25.0,6679.0,20500.0,EXP,7346.0
26.0,STEEL,4.62e6,OIL,0.0,RUBBER,462000.0,AMMO,154000.0,NULL,0.0,93600.0,POWER_PLANT,26.0,7778.0,22000.0,EXP,8555.0
27.0,STEEL,6.18e6,OIL,0.0,RUBBER,619200.0,AMMO,206400.0,NULL,0.0,109200.0,POWER_PLANT,27.0,9035.0,23500.0,EXP,9938.0
28.0,STEEL,8.671e6,OIL,0.0,RUBBER,868400.0,AMMO,288600.0,NULL,0.0,135200.0,POWER_PLANT,28.0,10758.0,25000.0,EXP,11833.0
29.0,STEEL,1.211e7,OIL,0.0,RUBBER,1.2124e6,AMMO,403200.0,NULL,0.0,166400.0,POWER_PLANT,29.0,12721.0,26500.0,EXP,13993.0
30.0,STEEL,1.6815e7,OIL,0.0,RUBBER,1.683e6,AMMO,561000.0,NULL,0.0,208000.0,POWER_PLANT,30.0,14947.0,28000.0,EXP,16441.0
