x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
INT_LEVEL,INT_COST_ITEM_TYPE_1,INT_COST_ITEM_COUNT_1,INT_COST_ITEM_TYPE_2,INT_COST_ITEM_COUNT_2,INT_COST_ITEM_TYPE_3,INT_COST_ITEM_COUNT_3,INT_COST_ITEM_TYPE_4,INT_COST_ITEM_COUNT_4,INT_COST_ITEM_TYPE_5,INT_COST_ITEM_COUNT_5,INT_TIME,INT_REQUIRE_BUILDING_1,INT_REQUIRE_LEVEL_1,INT_POWER,INT_PRODUCTION_TYPE,INT_PRODUCTION_COUNT,INT_CAPACITY,INT_INCREASE_GOLD,INT_REWARD_TYPE_1,INT_REWARD_COUNT_1
1.0,STEEL,35.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,5.0,TOWNHALL,10.0,1.0,RUBBER,10.0,100.0,1.0,EXP,1.0
2.0,STEEL,60.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,10.0,TOWNHALL,10.0,2.0,RUBBER,20.0,200.0,2.0,EXP,2.0
3.0,STEEL,110.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,30.0,TOWNHALL,10.0,4.0,RUBBER,30.0,300.0,3.0,EXP,4.0
4.0,STEEL,175.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,120.0,TOWNHALL,10.0,7.0,RUBBER,41.0,410.0,4.0,EXP,7.0
5.0,STEEL,275.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,240.0,TOWNHALL,10.0,11.0,RUBBER,53.0,530.0,5.0,EXP,12.0
6.0,STEEL,1050.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,480.0,TOWNHALL,10.0,26.0,RUBBER,65.0,650.0,6.0,EXP,28.0
7.0,STEEL,3750.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,960.0,TOWNHALL,10.0,47.0,RUBBER,77.0,770.0,7.0,EXP,51.0
8.0,STEEL,9500.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,1920.0,TOWNHALL,10.0,79.0,RUBBER,90.0,900.0,8.0,EXP,86.0
9.0,STEEL,24000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,3840.0,TOWNHALL,10.0,118.0,RUBBER,104.0,1040.0,9.0,EXP,129.0
10.0,STEEL,39000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,5760.0,TOWNHALL,10.0,157.0,RUBBER,118.0,1180.0,10.0,EXP,172.0
11.0,STEEL,53000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,7200.0,TOWNHALL,11.0,202.0,RUBBER,132.0,1320.0,11.0,EXP,222.0
12.0,STEEL,95000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,9600.0,TOWNHALL,12.0,257.0,RUBBER,147.0,1470.0,12.0,EXP,282.0
13.0,STEEL,140000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,13200.0,TOWNHALL,13.0,318.0,RUBBER,163.0,1630.0,13.0,EXP,349.0
14.0,STEEL,169000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,15600.0,TOWNHALL,14.0,398.0,RUBBER,179.0,1790.0,14.0,EXP,437.0
15.0,STEEL,195000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,18000.0,TOWNHALL,15.0,488.0,RUBBER,195.0,1950.0,15.0,EXP,536.0
16.0,STEEL,239000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,21000.0,TOWNHALL,16.0,596.0,RUBBER,212.0,2120.0,16.0,EXP,655.0
17.0,STEEL,321000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,25200.0,TOWNHALL,17.0,738.0,RUBBER,230.0,2300.0,17.0,EXP,811.0
18.0,STEEL,453000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,33000.0,TOWNHALL,18.0,905.0,RUBBER,248.0,2480.0,18.0,EXP,995.0
19.0,STEEL,555000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,40800.0,TOWNHALL,19.0,1110.0,RUBBER,266.0,2660.0,19.0,EXP,1221.0
20.0,STEEL,680000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,48600.0,TOWNHALL,20.0,1360.0,RUBBER,285.0,2850.0,20.0,EXP,1496.0
21.0,STEEL,1.104e6,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,57600.0,TOWNHALL,21.0,1673.0,RUBBER,305.0,3050.0,21.0,EXP,1840.0
22.0,STEEL,1.533e6,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,66600.0,TOWNHALL,22.0,2028.0,RUBBER,325.0,3250.0,22.0,EXP,2230.0
23.0,STEEL,2.04e6,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,75600.0,TOWNHALL,23.0,2406.0,RUBBER,345.0,3450.0,23.0,EXP,2646.0
24.0,STEEL,2.61e6,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,84000.0,TOWNHALL,24.0,2843.0,RUBBER,366.0,3660.0,24.0,EXP,3127.0
25.0,STEEL,3.54e6,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,96000.0,TOWNHALL,25.0,3340.0,RUBBER,388.0,3880.0,25.0,EXP,3674.0
26.0,STEEL,4.62e6,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,108000.0,TOWNHALL,26.0,3889.0,RUBBER,410.0,4100.0,26.0,EXP,4277.0
27.0,STEEL,6.18e6,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,126000.0,TOWNHALL,27.0,4518.0,RUBBER,432.0,4320.0,27.0,EXP,4969.0
