x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21
INT_LEVEL,INT_COST_ITEM_TYPE_1,INT_COST_ITEM_COUNT_1,INT_COST_ITEM_TYPE_2,INT_COST_ITEM_COUNT_2,INT_COST_ITEM_TYPE_3,INT_COST_ITEM_COUNT_3,INT_COST_ITEM_TYPE_4,INT_COST_ITEM_COUNT_4,INT_COST_ITEM_TYPE_5,INT_COST_ITEM_COUNT_5,INT_TIME,INT_REQUIRE_BUILDING_1,INT_REQUIRE_LEVEL_1,INT_POWER,INT_PROTECT_STEEL,INT_PROTECT_OIL,INT_PROTECT_RUBBER,INT_PROTECT_AMMO,INT_REWARD_TYPE_1,INT_REWARD_COUNT_1
1.0,STEEL,210.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,10.0,TOWNHALL,1.0,8.0,129600.0,129600.0,21600.0,10800.0,EXP,8.0
2.0,STEEL,360.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,25.0,TOWNHALL,2.0,14.0,194400.0,194400.0,32400.0,16200.0,EXP,15.0
3.0,STEEL,660.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,60.0,TOWNHALL,3.0,26.0,388800.0,388800.0,64800.0,32400.0,EXP,28.0
4.0,STEEL,1050.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,240.0,TOWNHALL,4.0,42.0,486000.0,486000.0,81000.0,40500.0,EXP,46.0
5.0,STEEL,1650.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,480.0,TOWNHALL,5.0,66.0,680400.0,680400.0,113400.0,56700.0,EXP,72.0
6.0,STEEL,6300.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,960.0,TOWNHALL,6.0,158.0,874800.0,874800.0,145800.0,72900.0,EXP,173.0
7.0,STEEL,23000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,1920.0,TOWNHALL,7.0,281.0,1.0692e6,1.0692e6,178200.0,89100.0,EXP,309.0
8.0,STEEL,57000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,3840.0,TOWNHALL,8.0,475.0,1.2636e6,1.2636e6,210600.0,105300.0,EXP,522.0
9.0,STEEL,141000.0,OIL,0.0,NULL,0.0,NULL,0.0,NULL,0.0,7680.0,TOWNHALL,9.0,705.0,1.458e6,1.458e6,243000.0,121500.0,EXP,775.0
